Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
0,0,0,0,0,0,0
3,0.00492,0.0057,0.007156667,0.001598333,0.002260833,-0.001303333
6,0.011759167,0.011246667,0.020460833,0.002391667,0.003843333,-0.001831667
9,0.017923333,0.018565833,0.0370475,0.003975,0.004719167,-0.001459167
12,0.024625,0.025796667,0.0572775,0.00573,0.005318333,-0.003685833
15,0.031915833,0.033204167,0.080936667,0.006055,0.005903333,-0.005575
18,0.03788,0.041848333,0.108916667,0.0054625,0.0073,-0.007500833
21,0.0419225,0.049689167,0.136629167,0.004523333,0.008318333,-0.00897
24,0.047475833,0.056528333,0.16516,0.002535,0.007770833,-0.011383333
27,0.05301,0.062640833,0.194911667,-0.0004925,0.006485,-0.014055
30,0.057271667,0.0694825,0.224401667,-0.003280833,0.004180833,-0.017071667
33,0.061408333,0.074899167,0.25254,-0.00602,0.000443333,-0.020505
36,0.064771667,0.081020833,0.278621667,-0.009103333,-0.003768333,-0.025901667
39,0.069245,0.086181667,0.304999167,-0.0122125,-0.00781,-0.0321125
42,0.0732675,0.0901175,0.33131,-0.015110833,-0.012551667,-0.036465833
45,0.076444167,0.093605833,0.355099167,-0.019026667,-0.0163575,-0.041643333
48,0.07984,0.097625833,0.37924,-0.021570833,-0.0218725,-0.045820833
51,0.082723333,0.1008525,0.404066667,-0.025893333,-0.0257125,-0.05253
54,0.083604167,0.103168333,0.4285175,-0.0285175,-0.029094167,-0.057898333
57,0.085871667,0.10559,0.45321,-0.02963,-0.032148333,-0.062015
60,0.089276667,0.1084275,0.476525,-0.031376667,-0.034190833,-0.067429167
63,0.093995,0.111338333,0.4985775,-0.033735,-0.036564167,-0.071670833
66,0.098680833,0.113988333,0.519234167,-0.035691667,-0.0395625,-0.075575
69,0.103315,0.117680833,0.538689167,-0.038083333,-0.0430025,-0.079519167
72,0.108163333,0.123758333,0.5578325,-0.0416275,-0.044390833,-0.08389
75,0.114051667,0.12988,0.577350833,-0.042166667,-0.046781667,-0.0864525
78,0.121324167,0.1355925,0.593880833,-0.036269167,-0.048491667,-0.08986
81,0.128973333,0.143616667,0.610201667,-0.029955,-0.051875,-0.092630833
84,0.138840833,0.152791667,0.626820833,-0.028491667,-0.0526025,-0.09683
87,0.148065833,0.163786667,0.641933333,-0.03012,-0.0545075,-0.101610833
90,0.156636667,0.174289167,0.655740833,-0.030908333,-0.055775833,-0.1041425
93,0.1651475,0.185485,0.6706675,-0.033810833,-0.057429167,-0.1080175
96,0.174014167,0.197431667,0.685075,-0.037005833,-0.057740833,-0.112185833
99,0.183266667,0.210350833,0.6986425,-0.038685833,-0.058791667,-0.114119167
102,0.192893333,0.222795833,0.711795833,-0.040541667,-0.061694167,-0.115776667
105,0.202490833,0.237235833,0.724344167,-0.044554167,-0.064845833,-0.116888333
108,0.209515833,0.251046667,0.7394075,-0.054661667,-0.068150833,-0.118851667
111,0.217415,0.264025833,0.753983333,-0.064125833,-0.0694375,-0.1195925
114,0.2237525,0.277370833,0.768325,-0.0704725,-0.072513333,-0.120735833
117,0.229606667,0.289639167,0.78414,-0.074348333,-0.075100833,-0.120559167
120,0.235355833,0.301828333,0.800224167,-0.079103333,-0.076726667,-0.12021
123,0.239189167,0.315115833,0.816249167,-0.080721667,-0.078748333,-0.120566667
126,0.243695,0.327790833,0.8340425,-0.081715,-0.081875833,-0.121105833
129,0.24709,0.340573333,0.850599167,-0.083456667,-0.083623333,-0.121725833
132,0.250614167,0.353321667,0.8652475,-0.08427,-0.085264167,-0.123346667
135,0.252079167,0.364806667,0.879806667,-0.08264,-0.08684,-0.124405
138,0.255535833,0.377110833,0.892941667,-0.082751667,-0.088754167,-0.125270833
141,0.258244167,0.389751667,0.906231667,-0.082729167,-0.0914125,-0.1262625
144,0.260220833,0.400458333,0.918826667,-0.081335833,-0.092905,-0.12517
147,0.261026667,0.410576667,0.929445,-0.079379167,-0.0945375,-0.125951667
150,0.26068,0.421853333,0.939566667,-0.078735833,-0.096006667,-0.1284425
153,0.260910833,0.429160833,0.947318333,-0.07953,-0.0966425,-0.130140833
156,0.259284167,0.435589167,0.9525375,-0.079053333,-0.097780833,-0.130909167
159,0.257245,0.441741667,0.95622,-0.078011667,-0.097268333,-0.132411667
162,0.255488333,0.446705,0.959168333,-0.077808333,-0.096695833,-0.13269
165,0.255580833,0.451173333,0.961250833,-0.079364167,-0.095360833,-0.133773333
168,0.253586667,0.455621667,0.962421667,-0.078205,-0.0950875,-0.133449167
171,0.252388333,0.458164167,0.96178,-0.076278333,-0.094015,-0.133523333
174,0.250371667,0.461185833,0.960045833,-0.075275,-0.093401667,-0.133623333
177,0.249465833,0.463776667,0.959545,-0.074745833,-0.092995833,-0.132415833
180,0.247986667,0.464349167,0.9570825,-0.072625833,-0.092480833,-0.130070833
183,0.246866667,0.46738,0.955871667,-0.070254167,-0.0921025,-0.1289525
186,0.2461325,0.470164167,0.954163333,-0.06905,-0.089135833,-0.12736
189,0.244505833,0.470301667,0.953795,-0.068876667,-0.088898333,-0.125788333
192,0.24248,0.470296667,0.9524075,-0.0677125,-0.087839167,-0.1237
195,0.240045833,0.470594167,0.94975,-0.06746,-0.087119167,-0.122723333
198,0.238545833,0.469943333,0.947505833,-0.067940833,-0.084856667,-0.122960833
201,0.236623333,0.470248333,0.944355833,-0.069188333,-0.083613333,-0.122599167
204,0.236645833,0.4700375,0.941584167,-0.068765,-0.083889167,-0.122009167
207,0.2352475,0.471598333,0.93844,-0.067823333,-0.0826025,-0.122889167
210,0.235168333,0.472485,0.937455833,-0.067518333,-0.08231,-0.1230275
213,0.2349675,0.47241,0.934383333,-0.066925833,-0.0815675,-0.1215
216,0.234525833,0.473534167,0.9316525,-0.065514167,-0.082150833,-0.1212
219,0.233276667,0.473968333,0.9290925,-0.065531667,-0.081853333,-0.121938333
222,0.232130833,0.473314167,0.927580833,-0.066416667,-0.080639167,-0.1230075
225,0.231150833,0.4730875,0.925101667,-0.064838333,-0.0792025,-0.123105833
228,0.230405833,0.47295,0.921643333,-0.064496667,-0.079056667,-0.1234325
231,0.228785,0.469935,0.9194975,-0.064913333,-0.078415,-0.12404
234,0.2272625,0.46749,0.917171667,-0.0661225,-0.075634167,-0.124845833
237,0.2272025,0.4649275,0.914255833,-0.065714167,-0.0753,-0.124011667
240,0.225849167,0.463019167,0.909258333,-0.0660575,-0.075899167,-0.124498333
243,0.223635833,0.461465,0.905974167,-0.066270833,-0.0760425,-0.124130833
246,0.222770833,0.4590275,0.90349,-0.0667075,-0.074744167,-0.122446667
249,0.223443333,0.458058333,0.8996775,-0.064411667,-0.074569167,-0.122384167
252,0.222758333,0.458384167,0.89696,-0.063750833,-0.075105,-0.121765
255,0.220690833,0.455765,0.894785,-0.064305833,-0.073940833,-0.121365833
258,0.219260833,0.452483333,0.8940425,-0.064043333,-0.073604167,-0.119968333
261,0.2183575,0.4515125,0.8913725,-0.061868333,-0.073291667,-0.118269167
264,0.2178325,0.450284167,0.88842,-0.060845833,-0.074045,-0.1185975
267,0.216009167,0.448016667,0.885645,-0.061640833,-0.072988333,-0.1180025
270,0.215294167,0.446220833,0.883194167,-0.059649167,-0.071930833,-0.1161825
273,0.216043333,0.445009167,0.879820833,-0.059508333,-0.071805833,-0.1139725
276,0.216410833,0.443169167,0.875385833,-0.059653333,-0.071775,-0.113075
279,0.215989167,0.440384167,0.873299167,-0.05967,-0.071134167,-0.110114167
282,0.216971667,0.437331667,0.8701375,-0.057705833,-0.07122,-0.1070825
285,0.217839167,0.436914167,0.8685025,-0.0562725,-0.072781667,-0.104585833
288,0.2176225,0.436765833,0.865121667,-0.055224167,-0.0707325,-0.101733333
291,0.2169075,0.435928333,0.864319167,-0.055601667,-0.070599167,-0.099635
294,0.215985833,0.435174167,0.862365833,-0.054539167,-0.070558333,-0.095598333
297,0.215308333,0.4339775,0.85955,-0.0530375,-0.069245,-0.092099167
300,0.214850833,0.4321325,0.85785,-0.05294,-0.067186667,-0.089265833
303,0.2143125,0.430395833,0.855643333,-0.050415,-0.066608333,-0.087235833
306,0.214341667,0.429518333,0.854545833,-0.04717,-0.066145833,-0.08403
309,0.21448,0.428553333,0.852509167,-0.046339167,-0.066648333,-0.080711667
312,0.213013333,0.427605833,0.850699167,-0.043835,-0.065880833,-0.078045
315,0.213170833,0.426604167,0.8488625,-0.041453333,-0.065231667,-0.074096667
318,0.213424167,0.425325833,0.8468,-0.039068333,-0.066639167,-0.070955
321,0.213409167,0.42493,0.844825,-0.035755,-0.0659675,-0.067895
324,0.21276,0.423066667,0.844315833,-0.034730833,-0.064994167,-0.064836667
327,0.2124175,0.4205675,0.843274167,-0.034054167,-0.065209167,-0.062199167
330,0.21157,0.419224167,0.842395833,-0.034089167,-0.066243333,-0.060323333
333,0.209409167,0.417795833,0.841495,-0.034558333,-0.0649025,-0.059639167
336,0.20764,0.414818333,0.840455,-0.034959167,-0.065685,-0.058551667
339,0.207119167,0.4144425,0.8383525,-0.032950833,-0.065804167,-0.056356667
342,0.2073825,0.414190833,0.836711667,-0.032129167,-0.066230833,-0.054513333
345,0.206765833,0.4139275,0.835216667,-0.031799167,-0.0659575,-0.053798333
348,0.206454167,0.412686667,0.833365,-0.0310525,-0.06614,-0.0515425
351,0.207001667,0.411360833,0.832055833,-0.030073333,-0.066814167,-0.0478225
354,0.207146667,0.4101775,0.830376667,-0.0292075,-0.066819167,-0.0463375
357,0.206109167,0.41101,0.830369167,-0.027649167,-0.066135,-0.044289167
360,0.204795,0.408758333,0.829683333,-0.025321667,-0.065941667,-0.044039167
363,0.205023333,0.407431667,0.8273025,-0.023616667,-0.0662275,-0.042725833
366,0.204291667,0.4070375,0.825996667,-0.022575833,-0.06402,-0.041890833
369,0.202954167,0.404408333,0.824643333,-0.023353333,-0.0619625,-0.042299167
372,0.2016375,0.402038333,0.823069167,-0.023225833,-0.060859167,-0.041433333
375,0.2017375,0.3994125,0.820985833,-0.022285833,-0.060921667,-0.040471667
378,0.200603333,0.3973125,0.819524167,-0.022195833,-0.0607975,-0.040605833
381,0.198883333,0.395634167,0.8175475,-0.022214167,-0.059934167,-0.041803333
384,0.1970475,0.3945275,0.815746667,-0.020765833,-0.060375,-0.041434167
387,0.196724167,0.392309167,0.813506667,-0.021115833,-0.06217,-0.041189167
390,0.1952575,0.3925025,0.811635,-0.021339167,-0.06084,-0.039284167
393,0.192818333,0.389819167,0.810876667,-0.021033333,-0.0599125,-0.038841667
396,0.1902875,0.387979167,0.809225,-0.021258333,-0.0606875,-0.038935
399,0.188371667,0.385585,0.808281667,-0.020541667,-0.0601375,-0.039078333
402,0.186801667,0.384591667,0.806450833,-0.0211625,-0.059186667,-0.040165833
405,0.183861667,0.3830175,0.8038975,-0.02146,-0.058209167,-0.040776667
408,0.182968333,0.3813625,0.801186667,-0.0208125,-0.05738,-0.0411825
411,0.182881667,0.37974,0.7990725,-0.021008333,-0.057874167,-0.040885
414,0.18235,0.37904,0.7963375,-0.0213725,-0.057423333,-0.040278333
417,0.181269167,0.37733,0.794435833,-0.020859167,-0.055866667,-0.040275833
420,0.182206667,0.376693333,0.79256,-0.019959167,-0.056885,-0.040649167
423,0.182121667,0.377025,0.791244167,-0.018944167,-0.05677,-0.040049167
426,0.183271667,0.376355,0.790585833,-0.0186525,-0.0550575,-0.039376667
429,0.183648333,0.376549167,0.7885725,-0.018784167,-0.054750833,-0.03903
432,0.183596667,0.374358333,0.78824,-0.02003,-0.054399167,-0.038290833
435,0.184078333,0.3730425,0.7879175,-0.020184167,-0.052841667,-0.038553333
438,0.183083333,0.371293333,0.787590833,-0.021058333,-0.052006667,-0.039229167
441,0.182428333,0.36979,0.786149167,-0.02128,-0.050169167,-0.039474167
444,0.182564167,0.368659167,0.785413333,-0.022124167,-0.0489125,-0.040549167
